Tijdstempel,What programme are you in?,When is your birthday (date)?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,How many students do you estimate there are in the room?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?
4/1/2025 12:17:06,AI & Data Science,01/01/1888,yes,unknown,mu,ja,male,yes,400,78,0,928393,00:00,Food,Travel
4/1/2025 12:17:14,AI & Data Science,31/01/2002,yes,1,sigma,ja,female,yes,321,1000,2,"31,416",12:30,sun,coffee
4/1/2025 12:17:16,"Business, Finance & Econometrics",?/09/?,yes,1,mu,ja,male,not willing to say,200,101,4,5,0:30,Zonnetje,Aperol
4/1/2025 12:17:20,"Business, Finance & Econometrics",17/10/2003,yes,0,mu,nee,male,yes,350,60,6,37,23:00,Sun,Sun
4/1/2025 12:17:23,AI & Data Science,19/04/2000,yes,1,mu,ja,male,yes,500,50,8,1,12,-,-
4/1/2025 12:17:25,"Business, Finance & Econometrics",Tomorrow ???,no,unknown,mu,nee,gender fluid,not willing to say,467,99.7,8,0,5am,Chocolate,Bitterballen
4/1/2025 12:17:26,"Business, Finance & Econometrics",25/10/1999,no,0,mu,ja,female,yes,500,60,4,4,12:00,Sun,Good food
4/1/2025 12:17:26,Computer Science & Technology,01/04/?,yes,0,sigma,ja,male,not willing to say,400,30,1,6656678,12am,good food,good grade
4/1/2025 12:17:27,AI & Data Science,29/01/2001,no,0,mu,ja,female,yes,500,60,3,888,10:37,Sun1,Sun2
4/1/2025 12:17:29,Computer Science & Technology,01/08/2000,no,0,mu,ja,gender fluid,not willing to say,200,70,1,420420420420420420,0200,Work done good,Then smoke weed
4/1/2025 12:17:31,AI & Data Science,19/10/1999,yes,1,sigma,ja,female,yes,250,100,4,3,11 pm,Good food ,Nice company 
4/1/2025 12:17:31,Computer Science & Technology,01/01/1999,yes,1,unknown,ja,male,yes,400,20,4.5,538299189101,00:00,Pizza,Beers
4/1/2025 12:17:34,AI & Data Science,01/01/2000,yes,unknown,mu,ja,male,yes,345,60,8,1984,23h45,Good food,Good sleep 
4/1/2025 12:17:39,AI & Data Science,15/06/2001,yes,1,mu,ja,male,no,500,50,4,72,9 am,Mama’s food,Dad’s card 
4/1/2025 12:17:39,Computer Science & Technology,01 ????,yes,1,unknown,ja,female,no,200,70,2,7,9,Good work,Good sleep
4/1/2025 12:17:39,Computer Science & Technology,27/02/2001,no,0,mu,ja,male,yes,500,1000,0,94,2 am,Passing courses,Sleeping
4/1/2025 12:17:40,AI & Data Science,10/05/1982,yes,1,sigma,ja,male,yes,400,50,7,13,01.00,Drugs,More drugs
4/1/2025 12:17:42,AI & Data Science,16/12/1998,no,0,mu,ja,female,yes,400,30,10,28,23.30,Coffee,Sports
4/1/2025 12:17:43,AI & Data Science,23/06/2002,yes,0,unknown,unknown,female,yes,200,1000,0,9,23:16,Nothing ,Nothing 
4/1/2025 12:17:43,"Business, Finance & Econometrics",10/08/2000,yes,0,sigma,ja,female,yes,200,70,0,8,2,Passing grade,Credit in balance
4/1/2025 12:17:44,AI & Data Science,30/12/2003,yes,1,mu,ja,male,yes,200,5,12,6372,1:00,Sun,More sun
4/1/2025 12:17:46,AI & Data Science,11/08/?,yes,1,mu,ja,male,yes,500,8,6,27,23.00, , 
4/1/2025 12:17:48,AI & Data Science,-,yes,1,mu,ja,male,yes,300,9999,10,9999,1 am,Not having EDDA exam,Freetime
4/1/2025 12:17:49,AI & Data Science,04/19/2000,no,0,mu,nee,male,yes,300,20,3,78,12:30 PM,Hanging with friends in the sun,Eating good food
4/1/2025 12:17:50,AI & Data Science,19/07/2003,yes,0,mu,ja,female,yes,300,50,4,38,23:30,Sun,Activity 
4/1/2025 12:17:50,AI & Data Science,19/02/? ,no,0,mu,nee,female,yes,500,15,12,19,00:30,Good food ,Friends 
4/1/2025 12:17:52,"Business, Finance & Econometrics",19/05/2000,no,0,mu,nee,female,not willing to say,100,75,6,777,0.30,Sun,Cappuccino
4/1/2025 12:17:52,AI & Data Science,14/09/?,yes,0,mu,ja,female,yes,550,100000000000000,7,74,2,Sun,Food
4/1/2025 12:17:52,AI & Data Science,?/?/1999,yes,0,unknown,ja,female,not willing to say,180-200,2,4-5,99,1:00 am,Sunny day,Hanging out with friends
4/1/2025 12:17:52,AI & Data Science,11/12/2001,yes,0,mu,ja,female,yes,300,3,10,25,12,dance,company
4/1/2025 12:17:54,"Business, Finance & Econometrics",24/01/1999,no,0,mu,nee,male,yes,300,55,2,27,12:00,Spending time with Marc,Nice warm weather
4/1/2025 12:17:55,AI & Data Science,29/07/2000,yes,0,mu,nee,male,yes,456,20,9,108,23:57,Yoga,Delicious food
4/1/2025 12:17:56,AI & Data Science,24/12/?,yes,1,sigma,ja,not willing to answer,yes,20*5*5,100,10,37,05:00,Alcohol,More alcohol
4/1/2025 12:17:56,Computer Science & Technology,01/06/2000,no,unknown,mu,ja,female,no,100,100,1,4738,12,grade 10,win lottery 
4/1/2025 12:17:56,AI & Data Science,11/11/2000 (assume 00 is 2000),yes,1,sigma,ja,male,yes,250,20,5,11011011,23:30,Socialising ,When I've learned something new
4/1/2025 12:17:57,AI & Data Science,05/11/1997,yes,0,mu,nee,male,yes,250,80,4,87,4:00,doing sports,not having anxiety
4/1/2025 12:17:58,AI & Data Science,27/11/2002,yes,0,mu,nee,male,yes,487,30,7,39,22:30,Sports,Free time
4/1/2025 12:17:58,"Business, Finance & Econometrics",20/07/2001,yes,0,mu,nee,male,yes,490,75,0,7,00:45,Booking tickets,drinking beers
4/1/2025 12:17:59,Computer Science & Technology,?/?/2000,yes,1,mu,ja,female,yes,300,10,2,77945354356758979022123,00:30,seeing friends,no work
4/1/2025 12:18:01,AI & Data Science,23/12/2002,yes,0,unknown,ja,female,yes,450,10,3,1934,01:30,Nice weather,No work
4/1/2025 12:18:03,AI & Data Science,16/03/2002,no,0,mu,ja,female,yes,550,50,8,8,00:30,Good food,Sun 
4/1/2025 12:18:03,AI & Data Science,09/05/2002,yes,0,mu,ja,male,yes,350,45,4,69420,23:30,Feeling energized,Reaching the goals I set for myself that day
4/1/2025 12:18:04,"Business, Finance & Econometrics",18/05/2003,yes,0,mu,ja,male,yes,300,5,8,14,12,Sports,Friends
4/1/2025 12:18:05,"Business, Finance & Econometrics",11/11/2002,yes,1,mu,ja,female,yes,450,89,7,69,23:40,Bubble tea,Dog
4/1/2025 12:18:05,"Business, Finance & Econometrics",?/?/2000,yes,1,mu,ja,male,no,350,0,4,14,3,No school,High grade
4/1/2025 12:18:06,AI & Data Science,??? 26,yes,unknown,mu,ja,male,not willing to say,200,49,7,420,2am,Warm,Sun
4/1/2025 12:18:06,AI & Data Science,29/09/ 2001,yes,1,mu,ja,male,yes,600,1000,4,66,1am,Going to gym,Weed
4/1/2025 12:18:07,AI & Data Science,21/11/2002,yes,1,mu,ja,male,yes,200,0,69,199389299284884742829r7747r8e9w929e94747uch38838udud8388383838e8e8e8e8e8e8d8du8s888x8d88d8u,2:00,Ajax winning,Drugs
4/1/2025 12:18:07,AI & Data Science,14/12/?,yes,1,mu,ja,female,yes,320,70,12,4,23:59,Sun,Interacting with my loved ones
4/1/2025 12:18:07,Computer Science & Technology,16/09/2001,no,0,mu,ja,male,yes,200,30,5,2324234234234432434,12,nothing to do,can do anything
4/1/2025 12:18:08,Computer Science & Technology ,?/?/1997,yes,1,sigma,ja,not willing to answer,not willing to say,300,72,2,73,00:00,Beer ,Wine 
4/1/2025 12:18:09,Computer Science & Technology,16/08/1996,yes,1,mu,ja,male,no,350,5,9,-1,01:00,A cold beer,Kissing the homies for good night 
4/1/2025 12:18:11,AI & Data Science,69/69/2069,yes,0,sigma,nee,intersex,yes,450,60,3,358,04:00,Happy,Friends
4/1/2025 12:18:11,AI & Data Science,26/11/1998,no,0,mu,ja,female,yes,150,60,2,42,2am,Good meal,Sunny day
4/1/2025 12:18:11,AI & Data Science,?/03/2023,yes,1,sigma,ja,not willing to answer,yes,375,6,10,61,23-00,Az winning,Went to the gym
4/1/2025 12:18:12,AI & Data Science,14/09/2000,yes,0,mu,ja,male,yes,200,13,6,7,00:00,Sunny,Pilsie
4/1/2025 12:18:12,AI & Data Science,-,yes,1,mu,ja,male,yes,350,0,5,69,4am,Free time,Videogames
4/1/2025 12:18:12,"Business, Finance & Econometrics",20/05/2001,yes,0,mu,nee,female,yes,500,2,4,7,01.00,"Sun, good food, being productive",Travelling
4/1/2025 12:18:12,AI & Data Science,28/12/1999,no,0,mu,unknown,male,yes,400,60,6,87,00.30,Praying 5 times on time,Seeing my parents and my younger brother doing fine
4/1/2025 12:18:13,AI & Data Science,16/01/?,no,0,mu,ja,male,yes,187,11,7,6969696,2.30,Gym,Edda
4/1/2025 12:18:13,AI & Data Science,23/05/?,yes,1,mu,ja,female,not willing to say,500,60,6,5,1am,sun,more sun 
4/1/2025 12:18:14,AI & Data Science Science ,19/07/1997,no,0,mu,ja,female,yes,350,35,7,95836,1 AM,Getting enough sleep,Healthy breakfast
4/1/2025 12:18:15,AI & Data Science,10/12/1994,yes,unknown,mu,unknown,male,no,300,15,5,Random,12:00 pm,A good day,A bad day
4/1/2025 12:18:16,Computer Science & Technology,20/06/?,yes,1,mu,ja,female,yes,400,66,6,12,23:30,Sunny weather ,Good grades 
4/1/2025 12:18:16,AI & Data Science,30/09/2002,yes,0,mu,nee,female,yes,80,80,6,47,22.00,Sunny day spent with friends ,going to a rave
4/1/2025 12:18:17,AI & Data Science,01/01/1900,no,0,sigma,ja,not willing to answer,yes,500,100,2,89,5,Sun,Sun
4/1/2025 12:18:17,Computer Science & Technology,??? 23,yes,1,unknown,ja,female,yes,450,20,0,8,11,Rain,Chocolate
4/1/2025 12:18:18,AI & Data Science,15/02/?,yes,0,mu,nee,male,yes,450,90,10,4141,12:30am,When the sun is out,Having the time to run
4/1/2025 12:18:18,"Business, Finance & Econometrics",13/03/2002,yes,unknown,mu,nee,male,not willing to say,220,40,9,15,23:00,Get a lot of sleep(at least 8 hours),Eat good food
4/1/2025 12:18:19,AI & Data Science,08/10/2001,yes,1,mu,ja,non-binary,not willing to say,250,30,4,6,2,happiness ,sun
4/1/2025 12:18:19,AI & Data Science,21/10/2001,yes,0,mu,ja,male,yes,430,30,8,37,00:30,Doing things I want to do,Not having to do things I don't want to do
