Unnamed: 0,Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,How many students do you estimate there are in the room?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Parsed How many students do you estimate there are in the room?,Parsed What is your stress level (0-100)?,Parsed How many hours per week do you do sports (in whole hours)?,Parsed Give a random number,Parsed Time you went to bed Yesterday,category_goodday_1,category_goodday_2
0,04/01/2025 12:17,MSc Artificial Intelligence,yes,unknown,mu,ja,male,yes,01-01-1888,400,78,0,928393,00:00,Food,Travel,400,78,0,928393,0,food,holiday
1,04/01/2025 12:17,Artificial Intelligence ,yes,1,sigma,ja,female,yes,31/01/2002,321,1000,2,31.416,12:30,sun,coffee,321,70.74980159,2,4.64E+120,12.5,weather,food
2,04/01/2025 12:17,Econometrics,yes,1,mu,ja,male,not willing to say,September ,200,101,4,5,00:30,Zonnetje,Aperol,200,53.25281899,4,5,0.5,weather,alchol/drugs
3,04/01/2025 12:17,Econometrics - Data Science,yes,0,mu,nee,male,yes,17/10/2003,350,60,6,37,23:00,Sun,Sun,350,60,6,37,23,weather,weather
4,04/01/2025 12:17,Bioinformatics’s & Systems Biology,yes,1,mu,ja,male,yes,19/04/2000,500,50,8,1,12,-,-,500,50,8,1,12,sport,weather
5,04/01/2025 12:17,Econometrics,no,unknown,mu,nee,gender fluid,not willing to say,Tomorrow,467,"99,7",8,0,5am,Chocolate,Bitterballen,467,61.461,8,0,5,food,food
6,04/01/2025 12:17,Econometrics,no,0,mu,ja,female,yes,25/10/1999,500,60,4,4,12:00,Sun,Good food,500,60,4,4,12,weather,food
7,04/01/2025 12:17,computer science,yes,0,sigma,ja,male,not willing to say,01/Apr,400,30,1,6656678,12am,good food,good grade,400,30,1,6656678,0,food,study/work
8,04/01/2025 12:17,Masters in AI,no,0,mu,ja,female,yes,29/01/2001,500,60,3,888,10:37,Sun1,Sun2,500,60,3,888,10.61666667,weather,weather
9,04/01/2025 12:17,Ms cs,no,0,mu,ja,gender fluid,not willing to say,1082000,200,70,1,4.2042E+17,200,Work done good,Then smoke weed,200,70,1,4.2042E+17,2,study/work,alchol/drugs
10,04/01/2025 12:17,AI,yes,1,sigma,ja,female,yes,19/10/1999,250,100,4,3,11:00 PM,Good food ,Nice company ,250,100,4,3,23,food,friends/family
11,04/01/2025 12:17,Computer Science (joint degree),yes,1,unknown,ja,male,yes,01/01/1999,400,20,"4,5",5.38E+16,00:00,Pizza,Beers,400,20,45,4.64E+120,0,food,alchol/drugs
12,04/01/2025 12:17,NPN,yes,unknown,mu,ja,male,yes,1012000,345,60,8,1984,23h45,Good food,Good sleep ,345,60,8,1984,23.75,food,sleep/rest
13,04/01/2025 12:17,Masters Artificial Intelligence ,yes,1,mu,ja,male,no,June 15 2001,500,50,4,72,9:00 AM,Mama’s food,Dad’s card ,500,50,4,72,9,food,money
