Unnamed: 0,Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,How many students do you estimate there are in the room?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Parsed How many students do you estimate there are in the room?,Parsed What is your stress level (0-100)?,Parsed How many hours per week do you do sports (in whole hours)?,Parsed Give a random number,Parsed Time you went to bed Yesterday,category_goodday_1,category_goodday_2
0,4-1-2025 12:17:07,AI & Data Science,yes,unknown,mu,ja,male,yes,]1985-1990],400,78,0,928393,00:00,Food,Travel,400,78.0,0.0,928393,00:00,food,holiday
1,4-1-2025 12:17:14,AI & Data Science,yes,1,sigma,ja,female,yes,]2000-2005],321,1000,2,31.416,12:30,sun,coffee,321,15.0,2.0,,12:30,weather,food
2,4-1-2025 12:17:17,"Business, Finance & Econometrics",yes,1,mu,ja,male,not willing to say, ,200,101,4,5,0:30,Zonnetje,Aperol,200,80.0,4.0,5,00:30,weather,alchol/drugs
3,4-1-2025 12:17:21,"Business, Finance & Econometrics",yes,0,mu,nee,male,yes,]2000-2005],350,60,6,37,23:00,Sun,Sun,350,60.0,6.0,37,23:00,weather,weather
4,4-1-2025 12:17:24,AI & Data Science,yes,1,mu,ja,male,yes,]1995-2000],500,50,8,1,12,-,-,500,50.0,8.0,1,12:00,,
5,4-1-2025 12:17:26,"Business, Finance & Econometrics",no,unknown,mu,nee,gender fluid,not willing to say, ,467,"99,7",8,0,5am,Chocolate,Bitterballen,467,20.0,8.0,0,05:00,food,food
6,4-1-2025 12:17:26,"Business, Finance & Econometrics",no,0,mu,ja,female,yes,]1995-2000],500,60,4,4,12:00,Sun,Good food,500,60.0,4.0,4,12:00,weather,food
7,4-1-2025 12:17:27,Computer Science & Technology,yes,0,sigma,ja,male,not willing to say, ,400,30,1,6656678,12am,good food,good grade,400,30.0,1.0,6656678,00:00,food,study/work
8,4-1-2025 12:17:28,AI & Data Science,no,0,mu,ja,female,yes,]2000-2005],500,60,3,888,10:37,Sun1,Sun2,500,60.0,3.0,888,10:37,weather,weather
9,4-1-2025 12:17:30,Computer Science & Technology,no,0,mu,ja,gender fluid,not willing to say,]1995-2000],200,70,1,420420420420420420,0200,Work done good,Then smoke weed,200,70.0,1.0,420420420420420420,02:00,study/work,alchol/drugs
10,4-1-2025 12:17:31,AI & Data Science,yes,1,sigma,ja,female,yes,]1995-2000],250,100,4,3,11 pm,Good food ,Nice company ,250,100.0,4.0,3,23:00,food,friends/family
11,4-1-2025 12:17:31,Computer Science & Technology,yes,1,unknown,ja,male,yes,]1995-2000],400,20,"4,5","5,38299E+11",00:00,Pizza,Beers,400,20.0,45.0,,00:00,food,alchol/drugs
12,4-1-2025 12:17:35,AI & Data Science,yes,unknown,mu,ja,male,yes,]1995-2000],345,60,8,1984,23h45,Good food,Good sleep ,345,60.0,8.0,1984,23:45,food,sleep/rest
13,4-1-2025 12:17:39,AI & Data Science,yes,1,mu,ja,male,no,]2000-2005],500,50,4,72,9 am,Mama’s food,Dad’s card ,500,50.0,4.0,72,09:00,food,money
14,4-1-2025 12:17:40,Computer Science & Technology,yes,1,unknown,ja,female,no, ,200,70,2,7,9,Good work,Good sleep,200,70.0,2.0,7,09:00,study/work,sleep/rest
15,4-1-2025 12:17:40,Computer Science & Technology,no,0,mu,ja,male,yes,]2000-2005],500,1000,0,94,2 am,Passing courses,Sleeping,500,40.0,0.0,94,02:00,study/work,sleep/rest
16,4-1-2025 12:17:41,AI & Data Science,yes,1,sigma,ja,male,yes,]1980-1985],400,50,7,13,01.00,Drugs,More drugs,400,50.0,7.0,13,01:00,alchol/drugs,alchol/drugs
17,4-1-2025 12:17:43,AI & Data Science,no,0,mu,ja,female,yes,]1985-1990],400,30,10,28,23.30,Coffee,Sports,400,30.0,10.0,28,23:30,food,sport
18,4-1-2025 12:17:44,AI & Data Science,yes,0,unknown,unknown,female,yes,]2000-2005],200,1000,0,9,23:16,Nothing ,Nothing ,200,60.0,0.0,9,23:16,joke,joke
19,4-1-2025 12:17:44,"Business, Finance & Econometrics",yes,0,sigma,ja,female,yes,]1995-2000],200,70,0,8,2,Passing grade,Credit in balance,200,70.0,0.0,8,02:00,study/work,money
20,4-1-2025 12:17:44,AI & Data Science,yes,1,mu,ja,male,yes,]2000-2005],200,5,12,6372,1:00,Sun,More sun,200,5.0,12.0,6372,01:00,weather,weather
21,4-1-2025 12:17:46,AI & Data Science,yes,1,mu,ja,male,yes, ,500,8,6,27,23.00, , ,500,8.0,6.0,27,23:00,,
22,4-1-2025 12:17:49,AI & Data Science,yes,1,mu,ja,male,yes, ,300,9999,10,9999,1 am,Not having EDDA exam,Freetime,300,40.0,10.0,9999,01:00,sleep/rest,sleep/rest
23,4-1-2025 12:17:50,AI & Data Science,no,0,mu,nee,male,yes,]1995-2000],300,20,3,78,12:30 PM,Hanging with friends in the sun,Eating good food,300,20.0,3.0,78,12:30,friends/family,food
24,4-1-2025 12:17:51,AI & Data Science,yes,0,mu,ja,female,yes,]2000-2005],300,50,4,38,23:30,Sun,Activity ,300,50.0,4.0,38,23:30,weather,sport
25,4-1-2025 12:17:51,AI & Data Science,no,0,mu,nee,female,yes, ,500,15,12,19,00:30,Good food ,Friends ,500,15.0,12.0,19,00:30,food,friends/family
26,4-1-2025 12:17:52,"Business, Finance & Econometrics",no,0,mu,nee,female,not willing to say,]1995-2000],100,75,6,777,0.30,Sun,Cappuccino,100,75.0,6.0,777,00:30,weather,food
27,4-1-2025 12:17:52,AI & Data Science,yes,0,mu,ja,female,yes, ,550,1E+14,7,74,2,Sun,Food,550,77.0,7.0,74,02:00,weather,food
28,4-1-2025 12:17:53,AI & Data Science,yes,0,unknown,ja,female,not willing to say,]1995-2000],180-200,2,4-5,99,1:00 am,Sunny day,Hanging out with friends,10,2.0,0,99,01:00,weather,friends/family
29,4-1-2025 12:17:53,AI & Data Science,yes,0,mu,ja,female,yes,]2000-2005],300,3,10,25,12,dance,company,300,3.0,10.0,25,12:00,sport,friends/family
