Unnamed: 0,Timestamp,What programme are you in?,Have you taken a course on machine learning?,Have you taken a course on information retrieval?,Have you taken a course on statistics?,Have you taken a course on databases?,What is your gender?,I have used ChatGPT to help me with some of my study assignments ,When is your birthday (date)?,How many students do you estimate there are in the room?,What is your stress level (0-100)?,How many hours per week do you do sports (in whole hours)? ,Give a random number,Time you went to bed Yesterday,What makes a good day for you (1)?,What makes a good day for you (2)?,Parsed How many students do you estimate there are in the room?,Parsed What is your stress level (0-100)?,Parsed How many hours per week do you do sports (in whole hours)?,Parsed Give a random number,Parsed Time you went to bed Yesterday,category_goodday_1,category_goodday_2,SleepDeviation,Norm.SleepDeviation,Norm.Stress,Norm.Sport,WellBeing
0,4-1-2025 12:17:07,AI & Data Science,yes,unknown,mu,ja,male,yes,]1985-1990],400,78,0,928393,00:00,Food,Travel,400.0,78.0,0.0,928393.0,0.0,food,holiday,1.5,0.8737727910238429,0.21999999999999997,0.0,0.3645909303412809
1,4-1-2025 12:17:14,AI & Data Science,yes,1,sigma,ja,female,yes,]2000-2005],321,1000,2,31.416,12:30,sun,coffee,321.0,44.15833333333334,2.0,1.9321458496705785e+123,0.5,weather,food,2.0,0.8316970546984572,0.5584166666666666,0.028985507246376812,0.4730330762038335
2,4-1-2025 12:17:17,"Business, Finance & Econometrics",yes,1,mu,ja,male,not willing to say,]2000-2005],200,101,4,5,0:30,Zonnetje,Aperol,200.0,36.97,4.0,5.0,0.5,weather,alchol/drugs,2.0,0.8316970546984572,0.6303000000000001,0.057971014492753624,0.506656023063737
3,4-1-2025 12:17:21,"Business, Finance & Econometrics",yes,0,mu,nee,male,yes,]2000-2005],350,60,6,37,23:00,Sun,Sun,350.0,60.0,6.0,37.0,23.0,weather,weather,0.5,0.9579242636746144,0.4,0.08695652173913043,0.4816269284712482
4,4-1-2025 12:17:24,AI & Data Science,yes,1,mu,ja,male,yes,]1995-2000],500,50,8,1,12,-,-,500.0,50.0,8.0,1.0,0.0,sport,friends/family,1.5,0.8737727910238429,0.5,0.11594202898550725,0.4965716066697834
5,4-1-2025 12:17:26,"Business, Finance & Econometrics",no,unknown,mu,nee,gender fluid,not willing to say,]2000-2005],467,"99,7",8,0,5am,Chocolate,Bitterballen,467.0,62.26,8.0,0.0,5.0,food,food,6.5,0.45301542776998593,0.37740000000000007,0.11594202898550725,0.3154524855851644
6,4-1-2025 12:17:26,"Business, Finance & Econometrics",no,0,mu,ja,female,yes,]1995-2000],500,60,4,4,12:00,Sun,Good food,500.0,60.0,4.0,4.0,0.0,weather,food,1.5,0.8737727910238429,0.4,0.057971014492753624,0.44391460183886555
7,4-1-2025 12:17:27,Computer Science & Technology,yes,0,sigma,ja,male,not willing to say,]1995-2000],400,30,1,6656678,12am,good food,good grade,400.0,30.0,1.0,6656678.0,0.0,food,study/work,1.5,0.8737727910238429,0.7,0.014492753623188406,0.5294218482156771
8,4-1-2025 12:17:28,AI & Data Science,no,0,mu,ja,female,yes,]2000-2005],500,60,3,888,10:37,Sun1,Sun2,500.0,60.0,3.0,888.0,10.616666666666667,weather,weather,11.883333333333333,0.0,0.4,0.043478260869565216,0.14782608695652175
9,4-1-2025 12:17:30,Computer Science & Technology,no,0,mu,ja,gender fluid,not willing to say,]1995-2000],200,70,1,420420420420420420,0200,Work done good,Then smoke weed,200.0,70.0,1.0,4.204204204204204e+17,2.0,study/work,alchol/drugs,3.5,0.7054698457223001,0.30000000000000004,0.014492753623188406,0.3399875331151629
10,4-1-2025 12:17:31,AI & Data Science,yes,1,sigma,ja,female,yes,]1995-2000],250,100,4,3,11 pm,Good food ,Nice company ,250.0,100.0,4.0,3.0,23.0,food,friends/family,0.5,0.9579242636746144,0.0,0.057971014492753624,0.33863175938912266
11,4-1-2025 12:17:31,Computer Science & Technology,yes,1,unknown,ja,male,yes,]1995-2000],400,20,"4,5","5,38299E+11",00:00,Pizza,Beers,400.0,20.0,45.0,2.653197238667381e+59,0.0,food,alchol/drugs,1.5,0.8737727910238429,0.8,0.6521739130434783,0.7753155680224403
12,4-1-2025 12:17:35,AI & Data Science,yes,unknown,mu,ja,male,yes,]1995-2000],345,60,8,1984,23h45,Good food,Good sleep ,345.0,60.0,8.0,1984.0,23.75,food,sleep/rest,1.25,0.8948106591865358,0.4,0.11594202898550725,0.4702508960573477
13,4-1-2025 12:17:39,AI & Data Science,yes,1,mu,ja,male,no,]2000-2005],500,50,4,72,9 am,Mama’s food,Dad’s card ,500.0,50.0,4.0,72.0,9.0,food,money,10.5,0.11640953716690039,0.5,0.057971014492753624,0.2247935172198847
14,4-1-2025 12:17:40,Computer Science & Technology,yes,1,unknown,ja,female,no,]2000-2005],200,70,2,7,9,Good work,Good sleep,200.0,70.0,2.0,7.0,9.0,study/work,sleep/rest,10.5,0.11640953716690039,0.30000000000000004,0.028985507246376812,0.14846501480442575
15,4-1-2025 12:17:40,Computer Science & Technology,no,0,mu,ja,male,yes,]2000-2005],500,1000,0,94,2 am,Passing courses,Sleeping,500.0,42.82,0.0,94.0,2.0,study/work,sleep/rest,3.5,0.7054698457223001,0.5718,0.0,0.42575661524076674
16,4-1-2025 12:17:41,AI & Data Science,yes,1,sigma,ja,male,yes,]1980-1985],400,50,7,13,01.00,Drugs,More drugs,400.0,50.0,7.0,13.0,1.0,alchol/drugs,alchol/drugs,2.5,0.7896213183730715,0.5,0.10144927536231885,0.4636901979117967
17,4-1-2025 12:17:43,AI & Data Science,no,0,mu,ja,female,yes,]1985-1990],400,30,10,28,23.30,Coffee,Sports,400.0,30.0,10.0,28.0,23.5,food,sport,1.0,0.9158485273492286,0.7,0.14492753623188406,0.5869253545270375
18,4-1-2025 12:17:44,AI & Data Science,yes,0,unknown,unknown,female,yes,]2000-2005],200,1000,0,9,23:16,Nothing ,Nothing ,200.0,32.38166666666667,0.0,9.0,23.266666666666666,joke,joke,0.7666666666666657,0.935483870967742,0.6761833333333334,0.0,0.5372224014336918
19,4-1-2025 12:17:44,"Business, Finance & Econometrics",yes,0,sigma,ja,female,yes,]1995-2000],200,70,0,8,2,Passing grade,Credit in balance,200.0,70.0,0.0,8.0,2.0,study/work,money,3.5,0.7054698457223001,0.30000000000000004,0.0,0.33515661524076673
20,4-1-2025 12:17:44,AI & Data Science,yes,1,mu,ja,male,yes,]2000-2005],200,5,12,6372,1:00,Sun,More sun,200.0,5.0,12.0,6372.0,1.0,weather,weather,2.5,0.7896213183730715,0.95,0.17391304347826086,0.6378447872837775
21,4-1-2025 12:17:46,AI & Data Science,yes,1,mu,ja,male,yes,]2000-2005],500,8,6,27,23.00, , ,500.0,8.0,6.0,27.0,23.0,sport,friends/family,0.5,0.9579242636746144,0.92,0.08695652173913043,0.6549602618045816
22,4-1-2025 12:17:49,AI & Data Science,yes,1,mu,ja,male,yes,]2000-2005],300,9999,10,9999,1 am,Not having EDDA exam,Freetime,300.0,17.246666666666666,10.0,9999.0,1.0,sleep/rest,sleep/rest,2.5,0.7896213183730715,0.8275333333333333,0.14492753623188406,0.587360729312763
23,4-1-2025 12:17:50,AI & Data Science,no,0,mu,nee,male,yes,]1995-2000],300,20,3,78,12:30 PM,Hanging with friends in the sun,Eating good food,300.0,20.0,3.0,78.0,0.5,friends/family,food,2.0,0.8316970546984572,0.8,0.043478260869565216,0.5583917718560075
24,4-1-2025 12:17:51,AI & Data Science,yes,0,mu,ja,female,yes,]2000-2005],300,50,4,38,23:30,Sun,Activity ,300.0,50.0,4.0,38.0,23.5,weather,sport,1.0,0.9158485273492286,0.5,0.057971014492753624,0.4912731806139941
25,4-1-2025 12:17:51,AI & Data Science,no,0,mu,nee,female,yes,]2000-2005],500,15,12,19,00:30,Good food ,Friends ,500.0,15.0,12.0,19.0,0.5,food,friends/family,2.0,0.8316970546984572,0.85,0.17391304347826086,0.6185366993922393
26,4-1-2025 12:17:52,"Business, Finance & Econometrics",no,0,mu,nee,female,not willing to say,]1995-2000],100,75,6,777,0.30,Sun,Cappuccino,100.0,75.0,6.0,777.0,0.5,weather,food,2.0,0.8316970546984572,0.25,0.08695652173913043,0.38955119214586253
27,4-1-2025 12:17:52,AI & Data Science,yes,0,mu,ja,female,yes,]2000-2005],550,1E+14,7,74,2,Sun,Food,550.0,17.372,7.0,74.0,2.0,weather,food,3.5,0.7054698457223001,0.82628,0.10144927536231885,0.5443997070282064
28,4-1-2025 12:17:53,AI & Data Science,yes,0,unknown,ja,female,not willing to say,]1995-2000],180-200,2,4-5,99,1:00 am,Sunny day,Hanging out with friends,10.0,2.0,0.0,99.0,1.0,weather,friends/family,2.5,0.7896213183730715,0.98,0.0,0.5898737727910238
29,4-1-2025 12:17:53,AI & Data Science,yes,0,mu,ja,female,yes,]2000-2005],300,3,10,25,12,dance,company,300.0,3.0,10.0,25.0,0.0,sport,friends/family,1.5,0.8737727910238429,0.97,0.14492753623188406,0.6629001090852423
30,4-1-2025 12:17:55,"Business, Finance & Econometrics",no,0,mu,nee,male,yes,]1995-2000],300,55,2,27,12:00,Spending time with Marc,Nice warm weather,300.0,55.0,2.0,27.0,0.0,friends/family,weather,1.5,0.8737727910238429,0.44999999999999996,0.028985507246376812,0.45091943275673985
31,4-1-2025 12:17:56,AI & Data Science,yes,0,mu,nee,male,yes,]1995-2000],456,20,9,108,23:57,Yoga,Delicious food,456.0,20.0,9.0,108.0,23.95,sport,food,1.4499999999999993,0.8779803646563815,0.8,0.13043478260869565,0.6028050490883591
32,4-1-2025 12:17:56,AI & Data Science,yes,1,sigma,ja,not willing to answer,yes,not possible,20*5*5,100,10,37,05:00,Alcohol,More alcohol,358.25,100.0,10.0,37.0,5.0,alchol/drugs,alchol/drugs,6.5,0.45301542776998593,0.0,0.14492753623188406,0.19931432133395666
33,4-1-2025 12:17:57,Computer Science & Technology,no,unknown,mu,ja,female,no,]1995-2000],100,100,1,4738,12,grade 10,win lottery ,100.0,100.0,1.0,4738.0,0.0,study/work,money,1.5,0.8737727910238429,0.0,0.014492753623188406,0.2960885148823437
34,4-1-2025 12:17:57,AI & Data Science,yes,1,sigma,ja,male,yes,]1995-2000],250,20,5,11011011,23:30,Socialising ,When I've learned something new,250.0,20.0,5.0,11011011.0,23.5,friends/family,study/work,1.0,0.9158485273492286,0.8,0.07246376811594203,0.5961040984883902
